Year,Player,AllStar,TTLAllStar
1998,Andrea Stinson,1,1
1998,Cynthia Cooper,1,1
1998,Eva Nemcova,1,1
1998,Jennifer Gillom,1,1
1998,Lisa Leslie,1,1
1998,Rebecca Lobo,,1
1998,Ruthie Bolton,,1
1998,Teresa Weatherspoon,1,1
1998,Tina Thompson,1,1
1998,Wendy Palmer,,1
1998,Cindy Brown,1,1
1998,Sheryl Swoopes,1,1
1998,Suzie McConnell Serio,1,1
1999,Andrea Stinson,,2
1999,Cynthia Cooper,1,2
1999,Eva Nemcova,,2
1999,Jennifer Gillom,,2
1999,Lisa Leslie,1,2
1999,Rebecca Lobo,,2
1999,Ruthie Bolton,,2
1999,Teresa Weatherspoon,1,2
1999,Tina Thompson,1,2
1999,Wendy Palmer,,2
1999,Cindy Brown,,2
1999,Sheryl Swoopes,1,2
1999,Suzie McConnell Serio,,2
1999,Chamique Holdsclaw,1,1
1999,Natalie Williams,1,1
1999,Shannon Johnson,1,1
1999,Ticha Penicheiro,1,1
1999,Yolanda Griffith,1,1
2000,Andrea Stinson,,3
2000,Cynthia Cooper,1,3
2000,Eva Nemcova,,3
2000,Jennifer Gillom,,3
2000,Lisa Leslie,1,3
2000,Rebecca Lobo,,3
2000,Ruthie Bolton,,3
2000,Teresa Weatherspoon,1,3
2000,Tina Thompson,1,3
2000,Wendy Palmer,,3
2000,Cindy Brown,,3
2000,Sheryl Swoopes,1,3
2000,Suzie McConnell Serio,,3
2000,Chamique Holdsclaw,,2
2000,Natalie Williams,1,2
2000,Shannon Johnson,1,2
2000,Ticha Penicheiro,1,2
2000,Yolanda Griffith,1,2
2000,Betty Lennox,1,1
2000,Katie Smith,1,1
2001,Andrea Stinson,,4
2001,Cynthia Cooper,,4
2001,Eva Nemcova,,4
2001,Jennifer Gillom,,4
2001,Lisa Leslie,1,4
2001,Rebecca Lobo,,4
2001,Ruthie Bolton,,4
2001,Teresa Weatherspoon,,4
2001,Tina Thompson,1,4
2001,Wendy Palmer,,4
2001,Cindy Brown,,4
2001,Sheryl Swoopes,,4
2001,Suzie McConnell Serio,,4
2001,Chamique Holdsclaw,1,3
2001,Natalie Williams,1,3
2001,Shannon Johnson,,3
2001,Ticha Penicheiro,1,3
2001,Yolanda Griffith,1,3
2001,Betty Lennox,,2
2001,Katie Smith,1,2
2001,Janeth Arcain,1,1
2001,Merlakia Jones,1,1
2001,Tamecka Dixon,1,1
2002,Andrea Stinson,,5
2002,Cynthia Cooper,,5
2002,Eva Nemcova,,5
2002,Jennifer Gillom,,5
2002,Lisa Leslie,1,5
2002,Rebecca Lobo,,5
2002,Ruthie Bolton,,5
2002,Teresa Weatherspoon,,5
2002,Tina Thompson,1,5
2002,Wendy Palmer,,5
2002,Cindy Brown,,5
2002,Sheryl Swoopes,1,5
2002,Suzie McConnell Serio,,5
2002,Chamique Holdsclaw,1,4
2002,Natalie Williams,,4
2002,Shannon Johnson,1,4
2002,Ticha Penicheiro,,4
2002,Yolanda Griffith,,4
2002,Betty Lennox,,3
2002,Katie Smith,1,3
2002,Janeth Arcain,,2
2002,Merlakia Jones,,2
2002,Tamecka Dixon,,2
2002,Mwadi Mabika,1,1
2002,Sue Bird,1,1
2002,Tamika Catchings,1,1
2002,Tari Phillips,1,1
2003,Andrea Stinson,,6
2003,Cynthia Cooper,,6
2003,Eva Nemcova,,6
2003,Jennifer Gillom,,6
2003,Lisa Leslie,1,6
2003,Rebecca Lobo,,6
2003,Ruthie Bolton,,6
2003,Teresa Weatherspoon,,6
2003,Tina Thompson,,6
2003,Wendy Palmer,,6
2003,Cindy Brown,,6
2003,Sheryl Swoopes,1,6
2003,Suzie McConnell Serio,,6
2003,Chamique Holdsclaw,,5
2003,Natalie Williams,,5
2003,Shannon Johnson,,5
2003,Ticha Penicheiro,,5
2003,Yolanda Griffith,,5
2003,Betty Lennox,,4
2003,Katie Smith,1,4
2003,Janeth Arcain,,3
2003,Merlakia Jones,,3
2003,Tamecka Dixon,,3
2003,Mwadi Mabika,,2
2003,Sue Bird,1,2
2003,Tamika Catchings,1,2
2003,Tari Phillips,,2
2003,Cheryl Ford,1,1
2003,Deanna Nolan,1,1
2003,Lauren Jackson,1,1
2003,Nikki Teasley,1,1
2003,Swin Cash,1,1
